14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,10,10,10,10,10,10,14,14,14,14,14
14,14,14,14,8,17,17,17,17,17,17,2,14,14,14,14
10,10,10,8,17,17,17,17,16,17,17,17,2,14,14,14
17,17,17,17,17,17,17,17,17,17,17,17,17,6,14,14
17,17,16,17,17,17,17,17,17,17,17,16,17,2,14,14
17,17,17,17,17,17,17,17,14,17,16,17,17,17,14,14
17,17,17,17,17,17,16,17,17,17,17,17,17,5,14,14
13,11,17,17,17,17,17,17,17,17,17,17,17,6,14,14
14,14,13,11,17,17,17,17,17,16,17,17,5,14,14,14
14,14,14,14,13,13,11,17,17,17,5,13,14,14,14,14
14,14,14,14,14,14,14,13,13,13,14,14,14,14,14,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
