14,14,14,14,14,8,17,17,17,17,2,14,14,14,14,14
14,14,14,14,12,17,17,17,17,17,17,6,14,14,14,14
14,14,14,14,8,17,17,17,17,17,17,6,14,14,14,14
14,14,14,12,17,17,17,17,17,17,17,6,14,14,14,14
14,14,14,8,17,17,16,17,17,17,17,6,14,14,14,14
10,10,8,17,17,17,17,17,17,17,17,2,10,10,10,10
17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17
17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17
17,17,16,17,17,17,17,17,17,17,17,17,17,16,16,17
17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17
13,13,13,13,11,17,17,17,17,17,17,17,5,13,13,13
14,14,14,14,12,17,17,17,17,17,17,17,6,14,14,14
14,14,14,14,12,17,17,17,17,17,17,5,14,14,14,14
14,14,14,14,12,17,17,17,16,17,17,6,14,14,14,14
14,14,14,14,12,17,17,17,17,17,17,6,14,14,14,14
14,14,14,14,14,11,17,17,17,17,5,14,14,14,14,14
